שם,קטגוריה,תת קטגוריה
AMZN MKTP DE,בית,טכני
HOT MOBILE,תקשורת,טלפון
NETFLIX COM,פנאי,מדיה
paybox,אחר,אחר
PAYPAL  EPICGAMESIN,ילדים,אחר
PAYPAL  GOOGLE YOUTU,ילדים,אחר
SPOTIFYIL,פנאי,מדיה
SURFSKI ISRAEL הוראו,פנאי,תחביבים
א.לוינזון בעמ-צמרת,בית,לבית
און קור,רכב,מוסך
אייל וייצמן,פנאי,מסעדות
אלונית משמר השרון,אוכל,אלונית
אקסורה אביזרים,בית,טכני
ארומה גן הצפון,פנאי,מסעדות
בזק הוראת קבע,תקשורת,טלפון
בי דראגסטורס משמר הש,בית,פארם
ביטוח לאומי הוראות ק,בנק,בט”ל
בית ספר לגלגיליות,ילדים,חוגים
גיא סוכניות וצעצועים,בית,אחר
דואלי מכונות אוטומטי,פנאי,מסעדות
דוגאטו,בית,חתול
דמי חבר מועדון חבר,אחר,אחר
דמי כרטיס הנחה,אחר,אחר
דרך ארץ הוראת קבע,רכב,כבישים
הבשר של ניר,אוכל,בשר
הג'ונגל של אלי,בית,חתול
הגינה האורגנית בעמ,אוכל,הגינה
"העברה ב BIT בנה""פ",אחר,אחר
הפניקס אוטו חובה,רכב,ביטוח
הפניקס אלמנטרי,ביטוחים,אחר
הראל חובה חדש,רכב,ביטוח
חב' חשמל מוקד טלפוני,חשבונות,חשמל
"חוצה צפון בע""מ - הו""",רכב,כבישים וחניות
כל-בו טכני הגר בע?מ,בית,טכני
כלבולית ג.ח.א,אחר,אחר
כללית חדרה אזורית,בריאות,תרופות
לחם שחר,אוכל,לחם
מ.א.עמק חפר,חשבונות,ארנונה
מ.התחבורה-פנגו מוביט,רכב,כבישים וחניות
מוסך וולטר,רכב,מוסך
"מחסני חשמל-אמ""צ ישרא",בית,לבית
מינימרקט אליישיב,אוכל,אלישיב
מנורה -ביטוח חיים,ביטוחים,חיים
מסעדת יאמאס,פנאי,מסעדות
מסעדת ניסן,פנאי,מסעדות
מפעל הפיס אזור שרון,אחר,פיס
מקדונלדס פארק הצפון,פנאי,מסעדות
משיכת מזומנים,אחר,מזומן
משק יעקובס גבינות ול,אוכל,יעקובס
"נעלי ניצן איחוד בע""מ",בית,ביגוד
סונול עמק חפר,רכב,דלק
סופר אלונית -אלון גן,פנאי,חטיפים
סופר אלונית גן יבנה-,פנאי,חטיפים
סופר אלונית משמר השר,אוכל,אלונית
"סופר כפר הרא""ה",אוכל,כפר הרואה
סופר-פארם פרופשיונל,בית,פארם
סטימצקי - משמר השרון,בית,אחר
עדשה מקומית,בית,אחר
עסקי משמר השרון- שרו,אוכל,אלונית
פוקס חדרה עודפים,בית,ביגוד
פז YELLOW טורען,רכב,דלק
פנגו חשבונית חודשית,רכב,כבישים וחניות
